id,properties
21638831,"{'y': 41.3634542, 'x': 2.1829767, 'street_count': 2}"
21638843,"{'y': 41.3703647, 'x': 2.1875931, 'street_count': 3}"
21638845,"{'y': 41.3700925, 'x': 2.187743, 'street_count': 3}"
21638855,"{'y': 41.3749826, 'x': 2.1888306, 'street_count': 3}"
21638859,"{'y': 41.3763469, 'x': 2.1886934, 'street_count': 3}"
21638861,"{'y': 41.3780115, 'x': 2.1880402, 'street_count': 3}"
21638865,"{'y': 41.3767732, 'x': 2.1906313, 'street_count': 2}"
21638867,"{'y': 41.3782089, 'x': 2.1889331, 'street_count': 4}"
21638868,"{'y': 41.3784394, 'x': 2.1899711, 'street_count': 4}"
21638869,"{'y': 41.3785912, 'x': 2.1906605, 'street_count': 4}"
21638872,"{'y': 41.3787967, 'x': 2.1877377, 'street_count': 3}"
21638877,"{'y': 41.3791109, 'x': 2.1891407, 'street_count': 4}"
21638878,"{'y': 41.3792994, 'x': 2.1900047, 'street_count': 4}"
21638882,"{'y': 41.3805427, 'x': 2.1878203, 'street_count': 4}"
21638886,"{'y': 41.3812783, 'x': 2.1859628, 'street_count': 3}"
21638889,"{'y': 41.3821491, 'x': 2.1841315, 'street_count': 3}"
21638890,"{'y': 41.3822514, 'x': 2.1839212, 'street_count': 3}"
21638891,"{'y': 41.3826029, 'x': 2.1831923, 'street_count': 4}"
21638916,"{'y': 41.376127, 'x': 2.1780416, 'highway': 'traffic_signals', 'street_count': 3}"
21638917,"{'y': 41.375966, 'x': 2.1781634, 'street_count': 3}"
21638920,"{'y': 41.3754663, 'x': 2.177604, 'street_count': 3}"
21638921,"{'y': 41.3755381, 'x': 2.1774317, 'street_count': 3}"
21638922,"{'y': 41.3757129, 'x': 2.1773686, 'street_count': 3}"
26057050,"{'y': 41.3749125, 'x': 2.148548, 'street_count': 3}"
26057076,"{'y': 41.3733143, 'x': 2.1762752, 'street_count': 3}"
26057079,"{'y': 41.3736617, 'x': 2.1768881, 'street_count': 3}"
26057116,"{'y': 41.3857494, 'x': 2.1701343, 'street_count': 3}"
26057125,"{'y': 41.3873921, 'x': 2.1685651, 'street_count': 4}"
26057131,"{'y': 41.3888075, 'x': 2.1723496, 'street_count': 5}"
26057304,"{'y': 41.3865594, 'x': 2.1662922, 'street_count': 4}"
26057307,"{'y': 41.3863103, 'x': 2.1641153, 'street_count': 3}"
26057312,"{'y': 41.389593, 'x': 2.16837, 'street_count': 4}"
26057341,"{'y': 41.3893033, 'x': 2.1736889, 'street_count': 4}"
26057342,"{'y': 41.3899292, 'x': 2.1753258, 'street_count': 4}"
26057345,"{'y': 41.3892283, 'x': 2.1762283, 'street_count': 3}"
26057346,"{'y': 41.3889575, 'x': 2.1758863, 'street_count': 3}"
26057347,"{'y': 41.3889558, 'x': 2.1737424, 'street_count': 3}"
26057388,"{'y': 41.3838266, 'x': 2.1608564, 'street_count': 4}"
26057389,"{'y': 41.3846778, 'x': 2.1619691, 'street_count': 4}"
26198828,"{'y': 41.3812781, 'x': 2.1574616, 'street_count': 4}"
26198831,"{'y': 41.3804334, 'x': 2.1563247, 'street_count': 4}"
26198833,"{'y': 41.3795841, 'x': 2.1551756, 'street_count': 4}"
26198844,"{'y': 41.3778725, 'x': 2.1529147, 'highway': 'traffic_signals', 'street_count': 4}"
30227021,"{'y': 41.3786459, 'x': 2.1738151, 'street_count': 3}"
30227024,"{'y': 41.3781521, 'x': 2.1750126, 'street_count': 3}"
30227025,"{'y': 41.3782059, 'x': 2.1733456, 'street_count': 3}"
30227027,"{'y': 41.3775175, 'x': 2.1745094, 'street_count': 4}"
30227028,"{'y': 41.377182, 'x': 2.1749581, 'street_count': 3}"
30227030,"{'y': 41.3766207, 'x': 2.1757423, 'street_count': 3}"
30227032,"{'y': 41.3777597, 'x': 2.1728957, 'street_count': 3}"
30227034,"{'y': 41.3770587, 'x': 2.1739954, 'street_count': 3}"
30227035,"{'y': 41.3805733, 'x': 2.1708255, 'street_count': 3}"
30227037,"{'y': 41.3791144, 'x': 2.1721135, 'street_count': 3}"
30227038,"{'y': 41.3792464, 'x': 2.1722346, 'street_count': 3}"
30227039,"{'y': 41.3789671, 'x': 2.1728352, 'street_count': 3}"
30227040,"{'y': 41.3797053, 'x': 2.1726234, 'street_count': 3}"
30227045,"{'y': 41.3789709, 'x': 2.1741388, 'street_count': 3}"
30227048,"{'y': 41.3786939, 'x': 2.1705237, 'street_count': 3}"
30227049,"{'y': 41.3782126, 'x': 2.1711198, 'street_count': 4}"
30227050,"{'y': 41.3778764, 'x': 2.1717029, 'street_count': 4}"
30227052,"{'y': 41.3774098, 'x': 2.1725123, 'street_count': 3}"
30227068,"{'y': 41.3773903, 'x': 2.1711983, 'street_count': 3}"
30227070,"{'y': 41.3801128, 'x': 2.1740277, 'street_count': 3}"
30227084,"{'y': 41.3794242, 'x': 2.1746078, 'highway': 'traffic_signals', 'street_count': 3}"
30227091,"{'y': 41.3799207, 'x': 2.172772, 'street_count': 3}"
30227131,"{'y': 41.3811117, 'x': 2.1651119, 'street_count': 3}"
30227132,"{'y': 41.3811853, 'x': 2.1659302, 'street_count': 4}"
30227133,"{'y': 41.3816681, 'x': 2.1667236, 'street_count': 3}"
30227134,"{'y': 41.3816095, 'x': 2.1638237, 'street_count': 3}"
30227135,"{'y': 41.3812656, 'x': 2.1638885, 'street_count': 3}"
30227136,"{'y': 41.3807924, 'x': 2.1639619, 'street_count': 4}"
30227137,"{'y': 41.3803796, 'x': 2.1640259, 'street_count': 3}"
30227139,"{'y': 41.380881, 'x': 2.1652665, 'street_count': 3}"
30227151,"{'y': 41.3825833, 'x': 2.1644922, 'street_count': 4}"
30227152,"{'y': 41.382263, 'x': 2.1647988, 'street_count': 4}"
30227153,"{'y': 41.3817581, 'x': 2.1652892, 'street_count': 4}"
30227154,"{'y': 41.3807403, 'x': 2.1664529, 'street_count': 4}"
30227156,"{'y': 41.382372, 'x': 2.1640959, 'street_count': 3}"
30227157,"{'y': 41.3820338, 'x': 2.1643846, 'street_count': 4}"
30227158,"{'y': 41.3816935, 'x': 2.1646998, 'street_count': 4}"
30227159,"{'y': 41.381356, 'x': 2.1649365, 'street_count': 3}"
30227160,"{'y': 41.3804615, 'x': 2.1655795, 'street_count': 3}"
30227192,"{'y': 41.3837354, 'x': 2.1644878, 'street_count': 3}"
30227193,"{'y': 41.383326, 'x': 2.1649366, 'street_count': 4}"
30227194,"{'y': 41.3830111, 'x': 2.1652713, 'street_count': 3}"
30227195,"{'y': 41.3826993, 'x': 2.1656095, 'street_count': 3}"
30227196,"{'y': 41.3823117, 'x': 2.1660362, 'street_count': 4}"
30227198,"{'y': 41.3807467, 'x': 2.1677141, 'street_count': 3}"
30227228,"{'y': 41.3803786, 'x': 2.1631037, 'street_count': 3}"
30227229,"{'y': 41.3803577, 'x': 2.1636551, 'street_count': 3}"
30227230,"{'y': 41.3803672, 'x': 2.1638525, 'street_count': 3}"
30227231,"{'y': 41.3804058, 'x': 2.1645765, 'street_count': 3}"
30227232,"{'y': 41.3804556, 'x': 2.1655022, 'street_count': 3}"
30227233,"{'y': 41.3805014, 'x': 2.1661378, 'street_count': 3}"
30227373,"{'y': 41.3816573, 'x': 2.1676823, 'street_count': 3}"
30227390,"{'y': 41.3821042, 'x': 2.1683799, 'street_count': 4}"
30227391,"{'y': 41.3824395, 'x': 2.168972, 'street_count': 4}"
30227392,"{'y': 41.3829469, 'x': 2.1698603, 'street_count': 4}"
30227394,"{'y': 41.3833022, 'x': 2.1703209, 'street_count': 4}"
30227397,"{'y': 41.3836786, 'x': 2.1711192, 'street_count': 3}"
30227398,"{'y': 41.3834245, 'x': 2.1687159, 'street_count': 3}"
30227399,"{'y': 41.3827108, 'x': 2.1694432, 'street_count': 3}"
30227401,"{'y': 41.3836025, 'x': 2.1690057, 'street_count': 3}"
30227402,"{'y': 41.3831498, 'x': 2.1682528, 'street_count': 3}"
30227404,"{'y': 41.382392, 'x': 2.1705246, 'street_count': 3}"
30227450,"{'y': 41.3789074, 'x': 2.1638551, 'street_count': 3}"
30227451,"{'y': 41.3790237, 'x': 2.1643029, 'street_count': 3}"
30227452,"{'y': 41.3791329, 'x': 2.1647538, 'street_count': 3}"
30227460,"{'y': 41.3795666, 'x': 2.1672526, 'street_count': 3}"
30227468,"{'y': 41.3802335, 'x': 2.169702, 'street_count': 3}"
30227469,"{'y': 41.380365, 'x': 2.1701498, 'street_count': 3}"
30227473,"{'y': 41.3808434, 'x': 2.1717791, 'street_count': 3}"
30227477,"{'y': 41.3809904, 'x': 2.1724354, 'street_count': 3}"
30227478,"{'y': 41.3812409, 'x': 2.1730536, 'street_count': 3}"
30227483,"{'y': 41.3808331, 'x': 2.17481, 'street_count': 4}"
30227484,"{'y': 41.3811079, 'x': 2.175155, 'street_count': 4}"
30227485,"{'y': 41.3812572, 'x': 2.1753493, 'street_count': 3}"
30227486,"{'y': 41.3814305, 'x': 2.1755659, 'street_count': 3}"
30227487,"{'y': 41.3816613, 'x': 2.1758448, 'street_count': 4}"
30227489,"{'y': 41.3824097, 'x': 2.1768061, 'street_count': 2}"
30227492,"{'y': 41.3833283, 'x': 2.177971, 'street_count': 4}"
30227495,"{'y': 41.3839602, 'x': 2.178734, 'street_count': 4}"
30236715,"{'y': 41.3732646, 'x': 2.1627417, 'street_count': 4}"
30236716,"{'y': 41.3729058, 'x': 2.1625876, 'street_count': 3}"
30236718,"{'y': 41.3725151, 'x': 2.1624364, 'street_count': 3}"
